id	familia	nombre	confianza	vista	x0	y0	x1	y1	criterio
CL-M01	muros	Paños del borde superior	alta	nativa	0	0	1534	24	Banda continua de cerramiento con cambios de tipo rotulado. Los textos interiores no son geometría.
CL-M02	muros	Borde izquierdo sobre ventana D3	alta	nativa	0	18	24	131	Paño con espesor representado; termina en el vano CL-V07.
CL-M03	muros	Borde izquierdo bajo ventana D3	alta	nativa	0	242	24	646	Cerramiento lateral continuo; no confundir con el mueble añadido CL-F11.
CL-M04	muros	Borde derecho exterior	alta	nativa	1515	139	1536	797	Cerramiento bajo el acceso CL-V01; el tramo del acceso no se rellena como muro.
CL-M05	muros	Fachada inferior D1	alta	nativa	22	630	480	647	Paños a ambos lados de CL-V08. Esta caja de localización incluye el vano y no debe extruirse.
CL-M06	muros	Fachada inferior D2	alta	nativa	493	630	817	647	Paños a ambos lados de CL-V09; conservar discontinuidad de ventana.
CL-M07	muros	Retorno exterior junto al baño	alta	nativa	815	395	835	797	Banda vertical del borde escalonado; separa dormitorio/terraza del baño longitudinal.
CL-M08	muros	Fachada inferior del baño	alta	nativa	832	778	1039	799	Paños interrumpidos por CL-V10. No cerrar la ventana con una caja completa.
CL-M09	muros	Fachada inferior de logia y comedor	alta	nativa	1040	777	1536	799	Paños y vanos CL-V11/CL-V12; confirmar configuración de logia en T11.
CL-M10	muros	Separación D1 y D2	alta	nativa	477	202	498	646	Tabique superior y paño inferior de distinto grafismo. No convertir las camas adyacentes en espesor de muro.
CL-M11	muros	Separación D2 y baño	alta	nativa	814	150	830	405	Doble trazo vertical continuo hasta el paño inferior. Dejar libre el acceso D2 en su extremo superior.
CL-M12	muros	Separación escalonada D3 y D1	alta	nativa	14	194	375	280	Paños horizontales y retorno junto al nicho; la caja engloba un quiebre y no representa un rectángulo macizo.
CL-M13	muros	Respaldo y lateral de nicho D3	media	nativa	247	123	369	207	Trazos dobles de contorno del nicho; su hoja y arco CL-H09 son mobiliario móvil. Revisar remates en T11.
CL-M14	muros	Cabecera escalonada D2	alta	nativa	476	145	717	211	Tabique con retranqueo y rótulos; termina en el acceso CL-V04.
CL-M15	muros	Cabecera del baño	alta	nativa	927	146	1021	163	Paño después del acceso CL-V05. El equipo cuadrado inferior CL-E01 no prolonga el muro.
CL-M16	muros	Separación baño y cocina con retranqueo	alta	nativa	995	151	1026	785	Tabique longitudinal que cambia de posición junto a la logia; no hay un paso lateral baño-logia dibujado.
CL-M17	muros	Paños sobre y bajo nicho de cocina	alta	nativa	1015	145	1101	261	Dos paños horizontales rotulados; el rectángulo interior CL-E06 es equipamiento, no un bloque de pared.
