id	elemento	recinto	clase	confianza	interpretacion	decision	continuacion
EQ01	Equipo rectangular de cabecera	R-BANO	equipo_probable	media	Lavadora de carga superior probable: caja independiente y panel posterior en la isométrica, símbolo rectangular en planta. Sin rótulo que confirme el aparato.	No convertir la caja en pared ni subdividir cabecera. No fijar una lavadora adicional en baño; conservar espacio disponible al ejecutar el programa de lavadora en logia.	T38/T42
EQ02	Lavamanos	R-BANO	sanitario	alta	Cubeta curva adosada al lateral derecho, con grifería visible en la isométrica. No es un segundo inodoro.	Modelar un lavamanos accesible; alturas, espacio inferior y grifería se verificarán al amueblar.	T14/T38
EQ03	Inodoro	R-BANO	sanitario	alta	Taza y estanque reconocibles en las dos vistas, adosados al lateral del baño. Área de transferencia a su izquierda en planta.	Un inodoro, sin tabique frente a su taza ni en las líneas de cota.	T38
EQ04	Barras de apoyo del inodoro	R-BANO	apoyos	alta	La isométrica muestra apoyos a ambos lados del sanitario. Los trazos de planta son soportes y proyecciones de equipos.	Conservar apoyos sin extruir sus proyecciones como muros. Altura, sección, estado plegado y barrido pendientes.	T14/T38
SH01	Ducha al fondo	R-BANO	zona_humeda	alta en ubicacion, media en limites de huella	Líneas convergentes y desagüe junto al extremo inferior del baño, frente a O10. El borde del símbolo no es una nueva pared.	Ducha accesible abierta al recinto por su frente. Piso continuo como requisito de implementación; pendientes, impermeabilización, grifería y apoyos se definirán sin inferir un escalón del dibujo.	T14/T24/T38
UA01	Achurado central de uso	R-BANO	reserva_uso	alta como superficie, media en función especifica	Reserva de aproximación/uso asociada probablemente al lavamanos y maniobra. Cifras 120 y 80 coherentes con el dibujo; el circulo de giro la atraviesa.	No crear volumen, tabique, plato de ducha central, mueble ni desnivel en el achurado.	T38/T43
UA02	Achurado anterior a la ducha	R-BANO	reserva_uso	alta como superficie, media en función especifica	Reserva frente a la ducha con lectura 90 coherente con su dimensión longitudinal. No hay pared transversal en su inicio o final.	Mantener continuidad con circulación y ducha. No crear otro baño ni una pieza separada.	T38/T43
UA03	Giro del baño	R-BANO	reserva_giro	alta	Circulo rotulado 150; centro y dos diámetros conservados desde T10. Es una reserva de maniobra, no un elemento físico.	Mantener el área libre al amueblar. Que no toque las huellas de muros no certifica maniobra real con equipos, puertas y apoyos.	T38/T43
UA04	Transferencia junto al inodoro	R-BANO	reserva_transferencia	media en limites longitudinales	La cota 80 y las barras sitúan la reserva al lado izquierdo del inodoro. La cota 70 corresponde al tramo hacia el tabique, no a una puerta.	Reservar aproximación lateral; no colocar muebles ni crear una particion sobre la cota.	T38/T43
LG01	Lavadero de logia	R-LOGIA	sanitario_servicio	alta	Cubeta con grifería contigua al volumen técnico, confirmada como lavadero por el texto general de p20 y su símbolo. La lamina no acota su modelo comercial.	Conservar lavadero funcional en logia; no confundirlo con el lavamanos del baño.	T42
LG02	Simbolo doble circular de logia	R-LOGIA	equipo_probable	media-baja en identidad	Dos cuerpos circulares con centros y contornos de asa, compatibles con cilindros/equipo de servicio; no con una lavadora inequívocamente dibujada. Sin leyenda identificativa ni detalle suficiente para asegurar su función.	No convertirlos en muros ni duplicarlos como equipos finales sin confirmar. La lavadora final proviene del requisito del usuario y su encaje se resolverá en T42.	T42
SV01	Interior del volumen técnico	R-TECNICO	espacio_tecnico_probable	alta en contorno, media en función	Franja delimitada por W19B/W20A/W20B/W08B, con X simbólica. Isometrica y ejemplos de instalaciones p22/p23 apoyan uso técnico; no prueban instalaciones concretas o espesor total terminado.	Conservar separación opaca lateral. Sin atravesar, agregar puertas o construir las diagonales interiores. Registros e instalaciones pendientes de detalle.	T14/T24
